date_time,accel_x,accel_y,accel_z,heart_rate
2019-11-24 18:55:18,-12.0,-63.0,-15.0,141.63
2019-11-24 18:55:19,-16.0,-69.0,5.0,141.58
2019-11-24 18:55:20,-21.0,-70.0,10.0,141.55
2019-11-24 18:55:21,-24.0,-85.0,19.0,141.5
2019-11-24 18:55:22,-24.0,-105.0,17.0,141.48
2019-11-24 18:55:23,-33.0,-78.0,16.0,141.47
2019-11-24 18:55:24,-26.0,-57.0,12.0,141.47
2019-11-24 18:55:25,-18.0,-32.0,11.0,141.47
2019-11-24 18:55:26,-21.0,-32.0,10.0,141.48
2019-11-24 18:55:27,-14.0,-58.0,21.0,141.5
2019-11-24 18:55:28,-21.0,-46.0,7.0,141.53
2019-11-24 18:55:29,-12.0,-47.0,4.0,141.58
2019-11-24 18:55:30,-13.0,-61.0,7.0,141.65
2019-11-24 18:55:31,-18.0,-70.0,6.0,141.72
2019-11-24 18:55:32,-25.0,-102.0,21.0,141.8
2019-11-24 18:55:33,-19.0,-96.0,20.0,141.88
2019-11-24 18:55:34,-30.0,-68.0,14.0,142.0
2019-11-24 18:55:35,-23.0,-41.0,12.0,142.12
2019-11-24 18:55:36,-14.0,-43.0,19.0,142.25
2019-11-24 18:55:37,-4.0,-90.0,8.0,142.4
2019-11-24 18:55:38,-12.0,-79.0,-3.0,142.57
2019-11-24 18:55:39,-17.0,-38.0,4.0,142.72
2019-11-24 18:55:40,-14.0,-44.0,4.0,142.87
2019-11-24 18:55:41,-16.0,-67.0,5.0,142.98
2019-11-24 18:55:42,-18.0,-61.0,19.0,143.13
2019-11-24 18:55:43,-22.0,-91.0,28.0,143.25
2019-11-24 18:55:44,-22.0,-45.0,6.0,143.38
2019-11-24 18:55:45,1.0,-68.0,18.0,143.52
2019-11-24 18:55:46,-17.0,-37.0,12.0,143.67
2019-11-24 18:55:47,-19.0,-96.0,13.0,143.82
2019-11-24 18:55:48,-25.0,-128.0,7.0,143.95
2019-11-24 18:55:49,-31.0,-90.0,10.0,144.12
2019-11-24 18:55:50,-17.0,-37.0,8.0,144.25
2019-11-24 18:55:51,-30.0,-41.0,9.0,144.38
2019-11-24 18:55:52,-18.0,-34.0,14.0,144.53
2019-11-24 18:55:53,-19.0,-47.0,16.0,144.68
2019-11-24 18:55:54,-50.0,-69.0,10.0,144.78
2019-11-24 18:55:55,-25.0,-40.0,10.0,144.88
2019-11-24 18:55:56,-39.0,-57.0,11.0,144.98
2019-11-24 18:55:57,-25.0,-43.0,9.0,145.08
2019-11-24 18:55:58,-11.0,-27.0,9.0,145.15
2019-11-24 18:55:59,-9.0,-39.0,9.0,145.22
2019-11-24 18:56:00,-7.0,-37.0,10.0,145.27
2019-11-24 18:56:01,-13.0,-70.0,10.0,145.28
2019-11-24 18:56:02,-15.0,-39.0,6.0,145.3
2019-11-24 18:56:03,-20.0,-23.0,7.0,145.33
2019-11-24 18:56:04,-7.0,-27.0,11.0,145.35
2019-11-24 18:56:05,-11.0,-27.0,7.0,145.37
2019-11-24 18:56:06,-4.0,-29.0,21.0,145.37
2019-11-24 18:56:07,-4.0,-28.0,12.0,145.37
2019-11-24 18:56:08,-7.0,-32.0,11.0,145.38
2019-11-24 18:56:09,-37.0,-50.0,10.0,145.43
2019-11-24 18:56:10,-55.0,-105.0,16.0,145.47
2019-11-24 18:56:11,-3.0,-69.0,30.0,145.5
2019-11-24 18:56:12,0.0,-12.0,65.0,145.52
2019-11-24 18:56:13,-9.0,-10.0,62.0,145.55
2019-11-24 18:56:14,-7.0,-11.0,63.0,145.58
2019-11-24 18:56:15,-8.0,-12.0,62.0,145.6
2019-11-24 18:56:16,-7.0,-11.0,61.0,145.63
2019-11-24 18:56:17,-53.0,-26.0,19.0,145.65
2019-11-24 18:56:18,-48.0,-26.0,27.0,145.68
2019-11-24 18:56:19,-48.0,-28.0,32.0,145.73
2019-11-24 18:56:20,-45.0,-27.0,34.0,145.8
2019-11-24 18:56:21,-43.0,-27.0,38.0,145.88
2019-11-24 18:56:22,-40.0,-34.0,37.0,145.97
2019-11-24 18:56:23,-32.0,-44.0,32.0,146.07
2019-11-24 18:56:24,-28.0,-46.0,33.0,146.18
2019-11-24 18:56:25,-26.0,-49.0,32.0,146.28
2019-11-24 18:56:26,-26.0,-44.0,38.0,146.38
2019-11-24 18:56:27,-27.0,-42.0,39.0,146.47
2019-11-24 18:56:28,-29.0,-39.0,41.0,146.53
2019-11-24 18:56:29,-32.0,-38.0,41.0,146.57
2019-11-24 18:56:30,-33.0,-35.0,45.0,146.57
2019-11-24 18:56:31,-30.0,-38.0,47.0,146.58
2019-11-24 18:56:32,-31.0,-38.0,44.0,146.58
2019-11-24 18:56:33,-34.0,-43.0,26.0,146.58
2019-11-24 18:56:34,-53.0,31.0,15.0,146.58
2019-11-24 18:56:35,-45.0,25.0,26.0,146.57
2019-11-24 18:56:36,-65.0,35.0,-1.0,146.55
2019-11-24 18:56:37,-48.0,29.0,-32.0,146.5
2019-11-24 18:56:38,-58.0,22.0,-11.0,146.45
2019-11-24 18:56:39,-63.0,32.0,-17.0,146.37
2019-11-24 18:56:40,-59.0,28.0,9.0,146.25
